species_input,scientific_name,tax_id,rank,kingdom,phylum,class,order,family,genus,status,message,origin,species_label
Alaria esculenta,Alaria esculenta,2889.0,species,,,Phaeophyceae,Laminariales,Alariaceae,Alaria,SUCCESS,,Phaeophyceae,Alaria esculenta
Asparagopsis taxiformis,Asparagopsis taxiformis,260499.0,species,,Rhodophyta,Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis,SUCCESS,,Rhodophyta,Asparagopsis taxiformis
Chlorella vulgaris,Chlorella vulgaris,3077.0,species,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,SUCCESS,,Chlorophyta,Chlorella vulgaris
Chromochloris zofingiensis,Chromochloris zofingiensis,31302.0,species,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Chromochloridaceae,Chromochloris,SUCCESS,,Chlorophyta,Chromochloris zofingiensis
Dunaliella tertiolecta,Dunaliella tertiolecta,3047,species,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Dunaliellaceae,Dunaliella,SUCCESS,,Chlorophyta,Dunaliella tertiolecta
Nannochloropsis gaditana,Nannochloropsis gaditana,72520,species,,,Eustigmatophyceae,Eustigmatales,Monodopsidaceae,Nannochloropsis,SUCCESS,,,Nannochloropsis gaditana
Palmaria palmata,Palmaria palmata,2822.0,species,,Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Palmaria,SUCCESS,,Rhodophyta,Palmaria palmata
Phaeodactylum tricornutum,Phaeodactylum tricornutum,2850.0,species,,Bacillariophyta,Bacillariophyceae,Naviculales,Phaeodactylaceae,Phaeodactylum,SUCCESS,,Bacillariophyta,Phaeodactylum tricornutum
Porphyridium purpureum,Porphyridium purpureum,35688.0,species,,Rhodophyta,Bangiophyceae,Porphyridiales,Porphyridiaceae,Porphyridium,SUCCESS,,Rhodophyta,Porphyridium purpureum
Prorocentrum lima,Prorocentrum lima,39448.0,species,,,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,SUCCESS,,Dinoflagellata,Prorocentrum lima
Saccharina latissima,Saccharina latissima,309358.0,species,,,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,SUCCESS,,Phaeophyceae,Saccharina latissima
Sacchorhiza polyschides,Polyschides,203169.0,genus,Metazoa,Mollusca,Scaphopoda,Gadilida,Siphonodentaliidae,,SUCCESS,,Phaeophyceae,Sacchorhiza polyschides
Scenedesmus obliquus,Tetradesmus obliquus,3088,species,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Tetradesmus,SUCCESS,,Chlorophyta,Scenedesmus obliquus
Spirulina major,Spirulina major,270636.0,species,Bacillati,Cyanobacteriota,Cyanophyceae,Spirulinales,Spirulinaceae,Spirulina,SUCCESS,,Cyanobacteria,Spirulina major
Spirulina platensis,Limnospira platensis,118562,species,Bacillati,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Sirenicapillariaceae,Limnospira,SUCCESS,,Cyanobacteriota,Spirulina platensis
Tetraselmis subcordiformis,Tetraselmis subcordiformis,3161,species,Viridiplantae,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,SUCCESS,,Chlorophyta,Tetraselmis subcordiformis
Ulva intestinalis,Ulva intestinalis,3116.0,species,Viridiplantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,SUCCESS,,Chlorophyta,Ulva intestinalis
