Week,Date,Species,Plant ID,Treatment,Soil_Humidity,Plant_Hength,Leaf_Number,leaf _Length,Chlorophyll,Aerial wet weight,Aerial dry weight,aerail dry weight  %,Root Wet Weight,Root Dry Weight,root WC %
W6,2023-11-27,Solanum lycopersicum,Sls1,s,2.50%,11.6,9,17.8,34,8.67,1.13,86.97,1.78,0.19,89.33
W6,2023-11-27,Solanum lycopersicum,Sls2,s,5.50%,22.7,11,16.8,25.9,8.79,1.26,85.67,1.83,0.17,90.71
W6,2023-11-27,Solanum lycopersicum,Sls3,s,7.10%,19,9,15.2,28.8,6.36,0.72,88.68,1.12,0.11,90.18
W6,2023-11-27,Solanum lycopersicum,Sls4,s,5.20%,20,10,17,28.8,9.91,1.39,85.97,1.56,0.18,88.46
W6,2023-11-27,Solanum lycopersicum,Sls5,s,5.00%,22.5,10,19.1,29.5,9.25,1.18,87.24,2.13,0.21,90.14
W6,2023-11-27,Solanum lycopersicum,Sli1,i,17.70%,29,12,20.1,23.8,15.91,2.07,86.99,1.98,0.21,89.39
W6,2023-11-27,Solanum lycopersicum,Sli2,i,15.50%,29.7,11,25.5,30.7,17.29,2.20,87.28,2.05,0.22,89.27
W6,2023-11-27,Solanum lycopersicum,Sli3,i,21.50%,26.7,11,20.8,27.6,10.05,0.92,90.85,0.92,0.08,91.30
W6,2023-11-27,Solanum lycopersicum,Sli4,i,19.40%,29,12,24,29.5,16.89,2.05,87.86,2.29,0.24,89.52
W6,2023-11-27,Solanum lycopersicum,Sli5,i,17.50%,28.6,12,22.7,30.1,18,2.16,88.00,1.75,0.2,88.57
W6,2023-11-27,Solanum lycopersicum,Slc1,c,49.00%,29,13,24.3,25.2,16.48,1.60,90.29,1.79,0.15,91.62
W6,2023-11-27,Solanum lycopersicum,Slc2,c,51.80%,30.5,13,24.3,27.2,16.29,1.89,88.40,1.93,0.19,90.16
W6,2023-11-27,Solanum lycopersicum,Slc3,c,47.60%,28,12,23,28.1,17.2,2.31,86.57,4.43,0.28,93.68
W6,2023-11-27,Solanum lycopersicum,Slc4,c,54.40%,29,12,26.5,30.1,21.12,2.65,87.45,4.48,0.35,92.19
W6,2023-11-27,Solanum lycopersicum,Slc5,c,50.70%,29.125,13,24.525,27.65,17.77,2.11,88.11,3.1575,0.24,92.40
W6,2023-11-27,Araujia sericifera,Ass1,s,7.60%,9,10,7.6,33.4,2.69,0.52,80.67,1.5,0.19,87.33
W6,2023-11-27,Araujia sericifera,Ass2,s,5.50%,8,10,8,36.8,2.91,0.51,82.47,1.55,0.15,90.32
W6,2023-11-27,Araujia sericifera,Ass3,s,4.80%,7.5,10,6.5,38.3,1.97,0.32,83.76,1.38,0.13,90.58
W6,2023-11-27,Araujia sericifera,Ass4,s,6.20%,7.4,10,8,37.2,2.79,0.49,82.44,1.18,0.12,89.83
W6,2023-11-27,Araujia sericifera,Ass5,s,11.80%,7.5,8,7.5,37.9,1.61,0.25,84.47,0.6,0.06,90.00
W6,2023-11-27,Araujia sericifera,Asi1,i,19.90%,15,11,11,36.4,3.72,0.77,79.30,1.02,0.14,86.27
W6,2023-11-27,Araujia sericifera,Asi2,i,22.70%,16.5,12,9.7,37.8,4.44,0.87,80.41,1.34,0.16,88.06
W6,2023-11-27,Araujia sericifera,Asi3,i,26%,9.8,12,8,39,2.56,0.47,81.64,0.92,0.11,88.04
W6,2023-11-27,Araujia sericifera,Asi4,i,19.80%,14.6,11,9.2,38.9,3.74,0.62,83.42,1.06,0.12,88.68
W6,2023-11-27,Araujia sericifera,Asi5,i,26.00%,13.2,14,9.6,34.3,3.31,0.72,78.25,0.93,0.10,89.25
W6,2023-11-27,Araujia sericifera,Asc1,s,51.50%,13,12,9.6,36.2,4.08,0.74,81.86,1.48,0.15,89.86
W6,2023-11-27,Araujia sericifera,Asc2,c,53.50%,8.2,12,7.1,31.8,3.06,0.56,81.70,1.2,0.10,91.67
W6,2023-11-27,Araujia sericifera,Asc3,c,59.20%,15.6,12,10.8,37,5.75,0.95,83.48,1.53,0.13,91.50
W6,2023-11-27,Araujia sericifera,Asc4,c,54.60%,14,12,9.4,35,4.76,0.56,88.24,1.39,0.14,89.93
W6,2023-11-27,Araujia sericifera,Asc5,c,58.90%,16.6,12,10.8,38.2,5.31,0.88,83.43,1.85,0.20,89.19
