species_input,scientific_name,tax_id,rank,kingdom,phylum,class,order,family,genus,status
Alaria esculenta,Alaria esculenta,2889,species,,,Phaeophyceae,Laminariales,Alariaceae,Alaria,SUCCESS
Asparagopsis taxiformis,Asparagopsis taxiformis,260499,species,,Rhodophyta,Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis,SUCCESS
Chlorella vulgaris,Chlorella vulgaris,3077,species,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,SUCCESS
Chromochloris zofingiensis,Chromochloris zofingiensis,31302,species,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Chromochloridaceae,Chromochloris,SUCCESS
Dunaliella tertiolecta,Dunaliella tertiolecta,3047,species,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Dunaliellaceae,Dunaliella,SUCCESS
Nannochloropsis gaditana,Nannochloropsis gaditana,72520,species,,,Eustigmatophyceae,Eustigmatales,Monodopsidaceae,Nannochloropsis,SUCCESS
Palmaria palmata,Palmaria palmata,2822,species,,Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Palmaria,SUCCESS
Phaeodactylum tricornutum,Phaeodactylum tricornutum,2850,species,,Bacillariophyta,Bacillariophyceae,Surirellales,Neidiaceae,Phaeodactylum,SUCCESS
Porphyridium purpureum,Porphyridium purpureum,35688,species,,Rhodophyta,Bangiophyceae,Porphyridiales,Porphyridiaceae,Porphyridium,SUCCESS
Prorocentrum lima,Prorocentrum lima,39448,species,,,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,SUCCESS
Saccharina latissima,Saccharina latissima,309358,species,,,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,SUCCESS
Sacchorhiza polyschides,Polyschides,203169,genus,Metazoa,Mollusca,Scaphopoda,Gadilida,Siphonodentaliidae,,SUCCESS
Scenedesmus obliquus,Tetradesmus obliquus,3088,species,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Tetradesmus,SUCCESS
Spirulina major,Spirulina major,270636,species,Bacillati,Cyanobacteriota,Cyanophyceae,Spirulinales,Spirulinaceae,Spirulina,SUCCESS
Spirulina platensis,Limnospira platensis,118562,species,Bacillati,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Sirenicapillariaceae,Limnospira,SUCCESS
Tetraselmis subcordiformis,Tetraselmis subcordiformis,3161,species,Viridiplantae,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,SUCCESS
Ulva intestinalis,Ulva intestinalis,3116,species,Viridiplantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,SUCCESS
